x_over_lambda,eta22_exact_norm,eta22_vwa_norm,eta22_walker_norm
-4.41110694392355,5.23954991911645e-06,5.1803121797296e-06,4.26697328410213e-06
-4.40999569390618,5.22324024848413e-06,5.16430007663222e-06,4.25567119499416e-06
-4.40888444388882,5.20640291365751e-06,5.14777124535781e-06,4.24400075957204e-06
-4.40777319387146,5.18903861795769e-06,5.13072649329672e-06,4.23196220223657e-06
-4.40666194385409,5.17114809022894e-06,5.11316665553143e-06,4.21955575611052e-06
-4.40555069383673,5.15273208474055e-06,5.09509259386374e-06,4.20678166319831e-06
-4.40443944381937,5.13379138149293e-06,5.0765051975882e-06,4.19364017452244e-06
-4.403328193802,5.11432678663493e-06,5.05740538321942e-06,4.18013155029698e-06
-4.40221694378464,5.09433913219878e-06,5.03779409492653e-06,4.16625606007453e-06
-4.40110569376728,5.07382927737242e-06,5.01767230429934e-06,4.15201398292436e-06
-4.39999444374991,5.05279810776605e-06,4.99704101106939e-06,4.13740560759094e-06
-4.39888319373255,5.03124653655287e-06,4.97590124251157e-06,4.12243123267404e-06
-4.39777194371519,5.00917550386051e-06,4.95425405432325e-06,4.10709116680699e-06
-4.39666069369782,4.98658597816622e-06,4.93210053027697e-06,4.09138572883401e-06
-4.39554944368046,4.96347895567217e-06,4.909441782408e-06,4.07531524800153e-06
-4.3944381936631,4.93985546112938e-06,4.88627895168575e-06,4.0588800641443e-06
-4.39332694364573,4.91571654795852e-06,4.8626132072393e-06,4.04208052788149e-06
-4.39221569362837,4.89106329860851e-06,4.83844574754318e-06,4.02491700081579e-06
-4.39110444361101,4.86589682509169e-06,4.81377779985062e-06,4.00738985573067e-06
-4.38999319359364,4.84021826909751e-06,4.78861062061397e-06,3.98949947680398e-06
-4.38888194357628,4.81402880221429e-06,4.76294549580389e-06,3.97124625980983e-06
-4.38777069355892,4.78732962647031e-06,4.73678374067011e-06,3.95263061233371e-06
-4.38665944354155,4.76012197496489e-06,4.71012670045522e-06,3.93365295400007e-06
-4.38554819352419,4.73240711157894e-06,4.68297575008152e-06,3.91431371667849e-06
-4.38443694350683,4.70418633171455e-06,4.65533229474696e-06,3.89461334471586e-06
-4.38332569348946,4.67546096264361e-06,4.62719776960539e-06,3.87455229516558e-06
-4.3822144434721,4.64623236387967e-06,4.59857364047244e-06,3.85413103801868e-06
-4.38110319345474,4.61650192754957e-06,4.56946140382603e-06,3.83335005643995e-06
-4.37999194343737,4.58627107836033e-06,4.53986258684052e-06,3.81220984700639e-06
-4.37888069342001,4.55554127465713e-06,4.50977874764081e-06,3.7907109199486e-06
-4.37776944340265,4.52431400821193e-06,4.47921147573728e-06,3.76885379939946e-06
-4.37665819338528,4.49259080511546e-06,4.44816239183506e-06,3.74663902364526e-06
-4.37554694336792,4.46037322538392e-06,4.41663314852606e-06,3.72406714537547e-06
-4.37443569335056,4.42766286431647e-06,4.38462542985022e-06,3.70113873193939e-06
-4.37332444333319,4.39446135211858e-06,4.35214095206637e-06,3.67785436560712e-06
-4.37221319331583,4.36077035453286e-06,4.31918146360383e-06,3.65421464383233e-06
-4.37110194329847,4.32659157329894e-06,4.28574874513334e-06,3.63022017951886e-06
-4.36999069328111,4.29192674644522e-06,4.25184461027667e-06,3.60587160128818e-06
-4.36887944326374,4.25677764861427e-06,4.21747090512024e-06,3.58116955375223e-06
-4.36776819324638,4.22114609147398e-06,4.18262950910155e-06,3.55611469778998e-06
-4.36665694322901,4.18503392443495e-06,4.14732233449129e-06,3.53070771082369e-06
-4.36554569321165,4.14844303433073e-06,4.11155132752851e-06,3.50494928710227e-06
-4.36443444319429,4.11137534645387e-06,4.07531846762999e-06,3.47884013798345e-06
-4.36332319317693,4.07383282465267e-06,4.03862576849708e-06,3.45238099222251e-06
-4.36221194315956,4.03581747175365e-06,4.00147527762433e-06,3.42557259625773e-06
-4.3611006931422,3.99733132990519e-06,3.96386907709241e-06,3.39841571450924e-06
-4.35998944312484,3.95837648101693e-06,3.92580928330781e-06,3.37091112966891e-06
-4.35887819310747,3.91895504705582e-06,3.88729804742062e-06,3.34305964299728e-06
-4.35776694309011,3.87906919048907e-06,3.84833755584721e-06,3.31486207462933e-06
-4.35665569307275,3.83872111474315e-06,3.80893002981549e-06,3.28631926386934e-06
-4.35554444305538,3.79791306431688e-06,3.76907772629582e-06,3.25743206950272e-06
-4.35443319303802,3.75664732549897e-06,3.72878293765886e-06,3.22820137009637e-06
-4.35332194302066,3.71492622632744e-06,3.68804799224361e-06,3.19862806431511e-06
-4.35221069300329,3.67275213744406e-06,3.64687525452408e-06,3.16871307122744e-06
-4.35109944298593,3.63012747187499e-06,3.60526712519681e-06,3.13845733062325e-06
-4.34998819296857,3.5870546859717e-06,3.56322604144735e-06,3.10786180332527e-06
-4.3488769429512,3.54353627935235e-06,3.5207544773081e-06,3.07692747151303e-06
-4.34776569293384,3.49957479542271e-06,3.47785494377771e-06,3.04565533903585e-06
-4.34665444291648,3.45517282176699e-06,3.43452998904418e-06,3.01404643174154e-06
-4.34554319289911,3.41033299033944e-06,3.3907821986645e-06,2.9821017977917e-06
-4.34443194288175,3.36505797796076e-06,3.34661419590207e-06,2.94982250799302e-06
-4.34332069286439,3.31935050651562e-06,3.30202864176562e-06,2.91720965612147e-06
-4.34220944284702,3.27321334346906e-06,3.25702823554876e-06,2.88426435925343e-06
-4.34109819282966,3.22664930195921e-06,3.2116157147877e-06,2.85098775808889e-06
-4.3399869428123,3.17966124129699e-06,3.16579385534932e-06,2.81738101728883e-06
-4.33887569279493,3.13225206725548e-06,3.11956547213872e-06,2.78344532580593e-06
-4.33776444277757,3.08442473222671e-06,3.07293341879935e-06,2.74918189721832e-06
-4.33665319276021,3.03618223586095e-06,3.02590058829621e-06,2.71459197006348e-06
-4.33554194274284,2.98752762500827e-06,2.97846991296101e-06,2.67967680817658e-06
-4.33443069272548,2.93846399418422e-06,2.93064436471826e-06,2.64443770102333e-06
-4.33331944270812,2.88899448588409e-06,2.88242695530583e-06,2.60887596404483e-06
-4.33220819269075,2.83912229078333e-06,2.83382073656894e-06,2.57299293898883e-06
-4.33109694267339,2.78885064806866e-06,2.78482880052589e-06,2.53678999425601e-06
-4.32998569265603,2.73818284570256e-06,2.73545427976888e-06,2.50026852523607e-06
-4.32887444263866,2.68712222065488e-06,2.68570034743071e-06,2.46342995465005e-06
-4.3277631926213,2.63567215918689e-06,2.63557021762145e-06,2.42627573289171e-06
-4.32665194260394,2.58383609710066e-06,2.5850671454527e-06,2.38880733837098e-06
-4.32554069258657,2.531617519915e-06,2.53419442742221e-06,2.35102627785422e-06
-4.32442944256921,2.47901996321477e-06,2.48295540147533e-06,2.3129340868091e-06
-4.32331819255185,2.42604701276354e-06,2.43135344712655e-06,2.27453232974186e-06
-4.32220694253448,2.3727023048883e-06,2.37939198601776e-06,2.23582260054895e-06
-4.32109569251712,2.31898952641063e-06,2.32707448151242e-06,2.196806522851e-06
-4.31998444249976,2.26491241507123e-06,2.27440443965326e-06,2.15748575034367e-06
-4.31887319248239,2.2104747597541e-06,2.22138540857288e-06,2.11786196713225e-06
-4.31776194246503,2.15568040050383e-06,2.16802097928876e-06,2.07793688808055e-06
-4.31665069244767,2.10053322869284e-06,2.1143147854235e-06,2.03771225914721e-06
-4.3155394424303,2.04503718744482e-06,2.0602705038781e-06,1.99718985773418e-06
-4.31442819241294,1.98919627156389e-06,2.00589185441152e-06,1.95637149301918e-06
-4.31331694239558,1.93301452769504e-06,1.95118260044763e-06,1.91525900630231e-06
-4.31220569237821,1.87649605459596e-06,1.89614654864533e-06,1.8738542713409e-06
-4.31109444236085,1.81964500302328e-06,1.84078754955395e-06,1.83215919469343e-06
-4.30998319234349,1.76246557620281e-06,1.78510949753074e-06,1.79017571605086e-06
-4.30887194232612,1.70496202971689e-06,1.72911633080606e-06,1.74790580857734e-06
-4.30776069230876,1.64713867166062e-06,1.67281203203464e-06,1.70535147924632e-06
-4.3066494422914,1.58899986248113e-06,1.61620062799093e-06,1.66251476916878e-06
-4.30553819227403,1.53055001566154e-06,1.55928618991202e-06,1.61939775393081e-06
-4.30442694225667,1.47179359722163e-06,1.50207283377465e-06,1.57600254392614e-06
-4.30331569223931,1.41273512606765e-06,1.44456472023495e-06,1.53233128468152e-06
-4.30220444222194,1.35337917379608e-06,1.38676605485664e-06,1.48838615718713e-06
-4.30109319220458,1.29373036518136e-06,1.3286810881503e-06,1.44416937822098e-06
-4.29998194218722,1.23379337772307e-06,1.27031411589963e-06,1.39968320067579e-06
-4.29887069216985,1.17357294205041e-06,1.21166947902519e-06,1.35492991387836e-06
-4.29775944215249,1.11307384143194e-06,1.15275156399066e-06,1.30991184391386e-06
-4.29664819213513,1.05230091261061e-06,1.0935648025618e-06,1.26463135393716e-06
-4.29553694211776,9.9125904482124e-07,1.03411367227989e-06,1.21909084449449e-06
-4.2944256921004,9.29953180295505e-07,9.74402696246712e-07,1.17329275383287e-06
-4.29331444208304,8.68388314609269e-07,9.14436443608301e-07,1.12723955821563e-06
-4.29220319206568,8.06569495523083e-07,8.54219528992724e-07,1.0809337722195e-06
-4.29109194204831,7.44501824142284e-07,7.93756613535588e-07,1.03437794905654e-06
-4.28998069203095,6.82190454120754e-07,7.3305240399444e-07,9.87574680859375e-07
-4.28886944201358,6.19640591673756e-07,6.7211165351134e-07,9.40526598990582e-07
-4.28775819199622,5.56857495583698e-07,6.10939161321285e-07,8.93236374335552e-07
-4.28664694197886,4.93846477410605e-07,5.49539773034677e-07,8.45706717596769e-07
-4.2855356919615,4.30612900681136e-07,4.87918380446284e-07,7.9794037958109e-07
-4.28442444194413,3.67162181419997e-07,4.26079921975157e-07,7.49940151489279e-07
-4.28331319192677,3.03499787647091e-07,3.64029382060812e-07,7.01708865191838e-07
-4.28220194190941,2.39631239294615e-07,3.01771792121146e-07,6.5324939351878e-07
-4.28109069189204,1.7556210835038e-07,2.39312229690144e-07,6.04564650522913e-07
-4.27997944187468,1.11298018050942e-07,1.76655818918058e-07,5.55657591757234e-07
-4.27886819185732,4.68446434814212e-08,1.13807730585926e-07,5.06531214540498e-07
-4.27775694183995,-1.77922893703375e-08,5.07731819503291e-08,4.57188558222083e-07
-4.27664569182259,-8.26070030879773e-08,-1.24425631853351e-08,4.07632704435584e-07
-4.27553444180523,-1.4759366972407e-07,-7.58341943281159e-08,3.57866777358111e-07
-4.27442319178786,-2.12746410561786e-07,-1.39396354670299e-07,3.07893943954703e-07
-4.2733119417705,-2.78059296284764e-07,-2.03123640602269e-07,2.57717414229238e-07
-4.27220069175314,-3.43526348038846e-07,-2.67010602237135e-07,2.07340441459146e-07
-4.27108944173577,-4.09141536297149e-07,-3.31051742968023e-07,1.56766322433493e-07
-4.26997819171841,-4.74898782594317e-07,-3.95241520074618e-07,1.05998397680924e-07
-4.26886694170105,-5.40791958712884e-07,-4.59574344104266e-07,5.50400516991612e-08
-4.26775569168368,-6.06814887759461e-07,-5.24044579383851e-07,3.89471316908058e-09
-4.26664444166632,-6.72961343617816e-07,-5.88646544128863e-07,-4.74341448284211e-08
-4.26553319164896,-7.39225052134296e-07,-6.53374510056914e-07,-9.89430046017138e-08
-4.26442194163159,-8.0559969109717e-07,-7.18222703002787e-07,-1.50628303647401e-07
-4.26331069161423,-8.72078890264696e-07,-7.83185302595383e-07,-2.02486434452854e-07
-4.26219944159687,-9.38656232306234e-07,-8.48256442554989e-07,-2.54513744303769e-07
-4.2610881915795,-1.00532525255199e-06,-9.13430210828216e-07,-3.06706535100433e-07
-4.25997694156214,-1.07207943998779e-06,-9.78700649525774e-07,-3.59061063174236e-07
-4.25886569154478,-1.13891223694735e-06,-1.04406175516506e-06,-4.11573539118892e-07
-4.25775444152741,-1.20581704026157e-06,-1.10950747887891e-06,-4.64240127620846e-07
-4.25664319151005,-1.27278720106867e-06,-1.17503172624196e-06,-5.17056947300113e-07
-4.25553194149269,-1.33981602531725e-06,-1.24062835784703e-06,-5.70020070557329e-07
-4.25442069147532,-1.40689677473509e-06,-1.30629118914335e-06,-6.23125523425117e-07
-4.25330944145796,-1.47402266635061e-06,-1.37201399060293e-06,-6.76369285427578e-07
-4.2521981914406,-1.54118687392617e-06,-1.43779048824442e-06,-7.29747289451891e-07
-4.25108694142323,-1.60838252758114e-06,-1.50361436329146e-06,-7.83255421614879e-07
-4.24997569140587,-1.67560271465735e-06,-1.56947925278657e-06,-8.36889521150808e-07
-4.24886444138851,-1.74284048047212e-06,-1.63537874961811e-06,-8.90645380296721e-07
-4.24775319137114,-1.81008882817166e-06,-1.70130640277813e-06,-9.44518744191627e-07
-4.24664194135378,-1.87734071959338e-06,-1.76725571756113e-06,-9.98505310775333e-07
-4.24553069133642,-1.94458907576733e-06,-1.83322015564475e-06,-1.05260073070334e-06
-4.24441944131905,-2.01182677765258e-06,-1.89919313582328e-06,-1.10680060726826e-06
-4.24330819130169,-2.079046666088e-06,-1.96516803358861e-06,-1.16110049632344e-06
-4.24219694128433,-2.14624154296355e-06,-2.03113818197453e-06,-1.21549590621889e-06
-4.24108569126696,-2.2134041712849e-06,-2.0970968713862e-06,-1.26998229774587e-06
-4.2399744412496,-2.2805272759686e-06,-2.16303735016412e-06,-1.3245550840914e-06
-4.23886319123224,-2.34760354438118e-06,-2.22895282492062e-06,-1.37920963079455e-06
-4.23775194121487,-2.41462562713671e-06,-2.29483646039182e-06,-1.43394125571835e-06
-4.23664069119751,-2.48158613829624e-06,-2.36068138053465e-06,-1.48874522902704e-06
-4.23552944118015,-2.54847765606714e-06,-2.42648066786555e-06,-1.54361677317215e-06
-4.23441819116278,-2.61529272370834e-06,-2.49222736473577e-06,-1.5985510628885e-06
-4.23330694114542,-2.68202384968298e-06,-2.55791447308828e-06,-1.65354322520109e-06
-4.23219569112806,-2.7486635089366e-06,-2.62353495498386e-06,-1.70858833943644e-06
-4.23108444111069,-2.8152041427858e-06,-2.68908173299735e-06,-1.76368143724442e-06
-4.22997319109333,-2.88163815998213e-06,-2.75454769068397e-06,-1.8188175026378e-06
-4.22886194107597,-2.94795793734053e-06,-2.81992567257743e-06,-1.87399147202569e-06
-4.2277506910586,-3.01415582048365e-06,-2.88520848521743e-06,-1.92919823427186e-06
-4.22663944104124,-3.08022412425598e-06,-2.95038889686854e-06,-1.98443263075386e-06
-4.22552819102388,-3.14615513364125e-06,-3.01545963867583e-06,-2.03968945543663e-06
-4.22441694100652,-3.21194110428149e-06,-3.08041340436109e-06,-2.09496345495021e-06
-4.22330569098915,-3.27757426336164e-06,-3.14524285120681e-06,-2.15024932868485e-06
-4.22219444097179,-3.34304681016541e-06,-3.20994060033503e-06,-2.20554172889367e-06
-4.22108319095442,-3.40835091678249e-06,-3.27449923712456e-06,-2.26083526080091e-06
-4.21997194093706,-3.47347872890194e-06,-3.33891131167527e-06,-2.31612448272883e-06
-4.2188606909197,-3.53842236663728e-06,-3.40316933959822e-06,-2.3714039062285e-06
-4.21774944090234,-3.60317392508733e-06,-3.46726580197214e-06,-2.42666799622576e-06
-4.21663819088497,-3.66772547511619e-06,-3.53119314642171e-06,-2.48191117117311e-06
-4.21552694086761,-3.73206906421291e-06,-3.59494378735129e-06,-2.53712780322019e-06
-4.21441569085025,-3.79619671712045e-06,-3.65851010637333e-06,-2.59231221838355e-06
-4.21330444083288,-3.86010043670998e-06,-3.72188445331385e-06,-2.64745869674289e-06
-4.21219319081552,-3.92377220455659e-06,-3.78505914615178e-06,-2.70256147263136e-06
-4.21108194079816,-3.98720398233166e-06,-3.84802647214332e-06,-2.75761473485223e-06
-4.20997069078079,-4.05038771164477e-06,-3.91077868818693e-06,-2.812612626899e-06
-4.20885944076343,-4.11331531542961e-06,-3.97330802137613e-06,-2.86754924718483e-06
-4.20774819074607,-4.17597869898468e-06,-4.03560666958477e-06,-2.92241864929247e-06
-4.2066369407287,-4.23836975011396e-06,-4.09766680231908e-06,-2.97721484222824e-06
-4.20552569071134,-4.3004803404083e-06,-4.15948056113902e-06,-3.0319317906895e-06
-4.20441444069398,-4.36230232605979e-06,-4.22104006040656e-06,-3.08656341534722e-06
-4.20330319067661,-4.42382754843122e-06,-4.28233738776292e-06,-3.14110359313511e-06
-4.20219194065925,-4.48504783498819e-06,-4.34336460533732e-06,-3.19554615755563e-06
-4.20108069064189,-4.5459550004518e-06,-4.4041137494976e-06,-3.24988489899573e-06
-4.19996944062452,-4.60654084726265e-06,-4.46457683257818e-06,-3.30411356505498e-06
