case_name,kp_h,h_m,valid_fraction,median_abs_error,max_abs_error,median_rel_error,max_rel_error
kph_0p5,0.5,17.921146953405,1,0.0281477070622066,3.28106257014862,0.0870279219878627,3.29078151627894
kph_1p0,1,35.84229390681,1,0.00100727622964711,0.320793951145101,0.0130522679523382,1.29840217195932
kph_5p0,5,179.21146953405,1,2.61644083465393e-06,0.0104394249679915,7.77544756637027e-05,0.197131891952241
