k,G_diag_exact,G_diag_vwa,G_exact_kn_0p5kp,G_vwa_kn_0p5kp,G_exact_kn_1p0kp,G_vwa_kn_1p0kp,G_exact_kn_1p5kp,G_vwa_kn_1p5kp
0.2,0.015284250819493,0.015284250819493,0.0154587588586855,0.0150014570387735,0.0245062486722353,0.0215971927895615,0.0340182241529957,0.0285671766178459
0.211557788944724,0.0145551699392038,0.0145551699392038,0.0150668184097905,0.0146369165986288,0.023816025965371,0.0212326523494169,0.0330177355031175,0.0282026361777012
0.223115577889447,0.0139696570885951,0.0139696570885951,0.0147398177640054,0.0143441601733245,0.0232307407118161,0.0209398959241125,0.0321638526172463,0.0279098797523969
0.234673366834171,0.0135017222781663,0.0135017222781663,0.0144684609173837,0.0141101927681101,0.0227348887367052,0.0207059285188982,0.0314345946787728,0.0276759123471825
0.246231155778894,0.0131312733011364,0.0131312733011364,0.0142451381300931,0.0139249682795952,0.0223158030466463,0.0205207040303832,0.0308120235946366,0.0274906878586676
0.257788944723618,0.0128425604770613,0.0128425604770613,0.0140635511035967,0.0137806118675576,0.0219630239836273,0.0203763476183457,0.0302813463602708,0.02734633144663
0.269346733668342,0.0126230787602476,0.0126230787602476,0.013918434908793,0.0136708710091507,0.0216678316949834,0.0202666067599388,0.0298302486221764,0.0272365905882232
0.280904522613065,0.0124627799878775,0.0124627799878775,0.0138053487212884,0.0135907216229657,0.0214228940504854,0.0201864573737538,0.0294483926924901,0.0271564412020381
0.292462311557789,0.0123534992897962,0.0123534992897962,0.0137205162641601,0.013536081273925,0.0212219979745153,0.0201318170247131,0.0291270343989588,0.0271018008529974
0.304020100502513,0.0122885318412222,0.0122885318412222,0.01366070267619,0.013503597549638,0.0210598419203885,0.0200993333004261,0.02885872705154,0.0270693171287104
0.315577889447236,0.0122623167510934,0.0122623167510934,0.0136231184229483,0.0134904900045736,0.0209318737546301,0.0200862257553617,0.0286370901213878,0.0270562095836461
0.32713567839196,0.0122701983461919,0.0122701983461919,0.0136053435269371,0.0134944308021229,0.0208341627783594,0.020090166552911,0.0284566265783676,0.0270601503811953
0.338693467336683,0.0123082440679326,0.0123082440679326,0.0136052672346139,0.0135134536629932,0.0207632977011718,0.0201091894137813,0.0283125772309766,0.0270791732420656
